id_promo,kode_produk
R00002,P00007
R00002,S000093
R00004,S000039
R00004,P0000158
R00003,S0000221
R00001,P000018
R00001,S0000178
R00004,S0000159
R00001,S0000179
R00005,S0000175
R00003,P000083
R00002,P0000150
R00003,S000082
R00004,S000080
R00005,P000076
R00002,S0000225
R00003,S000095
R00004,P0000166
R00002,P0000111
R00003,S000045
R00004,S000011
R00002,S000055
R00005,P000031
R00005,S000063
R00004,S0000155
R00003,S0000101
R00004,P0000114
R00002,P0000126
R00003,P0000146
R00002,S000031
R00001,S000073
R00003,S000096
R00002,S000083
R00005,P0000183
R00003,S000068
R00003,S000067
R00002,P0000123
R00005,P000077
R00005,P000044
R00004,P0000148
R00004,S0000250
R00004,S0000246
R00004,P000041
R00001,P000015
R00001,S00002
R00003,S0000193
R00004,S0000216
R00001,P000045
R00003,P0000112
R00003,S0000249
R00002,S0000207
R00005,P0000104
R00002,P0000110
R00001,S0000137
R00002,P000018
R00002,S0000208
R00004,S000073
R00002,S000017
R00003,P00001
R00004,S0000244
R00002,S0000191
R00004,P000094
R00001,P0000121
R00003,S0000114
R00004,P0000161
R00005,P0000100
R00002,S0000222
R00003,S00009
R00003,P000087
R00003,P0000190
R00005,S000018
R00002,P0000132
R00003,S0000221
R00001,S0000138
R00002,S0000190
