kode_produk,nominal
P00001,5
P00002,10
P00003,25
P00004,50
P00005,100
P00006,150
P00007,200
P00008,5
P00009,10
P000010,25
P000011,50
P000012,100
P000013,150
P000014,200
P000015,5
P000016,10
P000017,25
P000018,50
P000019,100
P000020,150
P000021,200
P000022,5
P000023,10
P000024,25
P000025,50
P000026,100
P000027,150
P000028,200
P000029,5
P000030,10
P000031,25
P000032,50
P000033,100
P000034,150
P000035,200
P000036,5
P000037,10
P000038,25
P000039,50
P000040,100
P000041,150
P000042,200
P000043,5
P000044,10
P000045,25
P000046,50
P000047,100
P000048,150
P000049,200
P000050,5
P000051,10
P000052,25
P000053,50
P000054,100
P000055,150
P000056,200
P000057,5
P000058,10
P000059,25
P000060,50
P000061,100
P000062,150
P000063,200
P000064,5
P000065,10
P000066,25
P000067,50
P000068,100
P000069,150
P000070,200
P000071,5
P000072,10
P000073,25
P000074,50
P000075,100
P000076,150
P000077,200
P000078,5
P000079,10
P000080,25
P000081,50
P000082,100
P000083,150
P000084,200
P000085,5
P000086,10
P000087,25
P000088,50
P000089,100
P000090,150
P000091,200
P000092,5
P000093,10
P000094,25
P000095,50
P000096,100
P000097,150
P000098,200
P000099,5
P0000100,10
P0000101,25
P0000102,50
P0000103,100
P0000104,150
P0000105,200
P0000106,5
P0000107,10
P0000108,25
P0000109,50
P0000110,100
P0000111,150
P0000112,200
P0000113,5
P0000114,10
P0000115,25
P0000116,50
P0000117,100
P0000118,150
P0000119,200
P0000120,5
P0000121,10
P0000122,25
P0000123,50
P0000124,100
P0000125,150
P0000126,200
P0000127,5
P0000128,10
P0000129,25
P0000130,50
P0000131,100
P0000132,150
P0000133,200
P0000134,5
P0000135,10
P0000136,25
P0000137,50
P0000138,100
P0000139,150
P0000140,200
P0000141,5
P0000142,10
P0000143,25
P0000144,50
P0000145,100
P0000146,150
P0000147,200
P0000148,5
P0000149,10
P0000150,25
P0000151,50
P0000152,100
P0000153,150
P0000154,200
P0000155,5
P0000156,10
P0000157,25
P0000158,50
P0000159,100
P0000160,150
P0000161,200
P0000162,5
P0000163,10
P0000164,25
P0000165,50
P0000166,100
P0000167,150
P0000168,200
P0000169,5
P0000170,10
P0000171,25
P0000172,50
P0000173,100
P0000174,150
P0000175,200
P0000176,5
P0000177,10
P0000178,25
P0000179,50
P0000180,100
P0000181,150
P0000182,200
P0000183,5
P0000184,10
P0000185,25
P0000186,50
P0000187,100
P0000188,150
P0000189,200
P0000190,5
P0000191,10
P0000192,25
P0000193,50
P0000194,100
P0000195,150
P0000196,200
P0000197,5
P0000198,10
P0000199,25
P0000200,50
